Date,Open,High,Low,Close,Adj Close,Volume
2023-01-29,21183.220703,22008.570313,21140.564453,21867.869141,21867.869141,25224334965
2023-01-30,21867.945313,21884.201172,20880.775391,21050.042969,21050.042969,25073357016
2023-01-31,21050.648438,21380.955078,20969.888672,21305.564453,21305.564453,21027999257
2023-02-01,21304.230469,21628.203125,20978.027344,21541.990234,21541.990234,24229303228
2023-02-02,21539.314453,21932.177734,21521.570313,21524.574219,21524.574219,29406567597
2023-02-03,21522.320313,21859.978516,21548.533203,21701.173828,21701.173828,25064023436
2023-02-04,21698.398438,21789.000000,21555.392578,21580.792969,21580.792969,14465569183
2023-02-05,21581.162109,21635.337891,21170.566406,21276.367188,21276.367188,18133058539
2023-02-06,21274.843750,21532.833984,21155.503906,21213.240234,21213.240234,22205763797
2023-02-07,21210.591797,21693.798828,21207.398438,21680.203125,21680.203125,25336708782
2023-02-08,21679.386719,21783.050781,21200.021484,21407.873047,21407.873047,23677473761
2023-02-09,21414.560547,21459.908203,20272.855469,20316.777344,20316.777344,30329918018
2023-02-10,20316.746094,20457.697266,20174.656250,20256.523438,20256.523438,25334151033
2023-02-11,20257.138672,20481.275391,20225.896484,20462.062500,20462.062500,15302639919
2023-02-12,20462.087891,20617.125000,20302.173828,20405.873047,20405.873047,16690407937
2023-02-13,20404.744141,20494.046875,20022.113281,20322.708984,20322.708984,22289589211
2023-02-14,20316.857422,20710.349609,20187.177734,20698.390625,20698.390625,24956955411
2023-02-15,20698.185547,22735.562500,20591.498047,22735.562500,22735.562500,30382227264
2023-02-16,22735.101563,23541.443359,22128.710938,22149.275391,22149.275391,36863147459
2023-02-17,22147.220703,23301.111328,22003.044922,22923.218750,22923.218750,38593349279
2023-02-18,22922.933594,23140.810547,22832.443359,22993.785156,22993.785156,18313290723
2023-02-19,22992.619141,23415.359375,22770.064453,22770.064453,22770.064453,23918940029
2023-02-20,22778.470703,23408.191406,22409.277344,23243.062500,23243.062500,27135662957
2023-02-21,23246.712891,23534.990234,22724.408203,22941.826172,22941.826172,29340720356
2023-02-22,22942.826172,22972.332031,22263.158203,22807.732422,22807.732422,28475667565
2023-02-23,22809.501953,23132.164063,22337.939453,22597.166016,22597.166016,28757798964
2023-02-24,22595.763672,22725.429688,21807.943359,21916.640625,21916.640625,25330637326
2023-02-25,21918.527344,21926.546875,21623.605469,21920.429688,21920.429688,15228867492
2023-02-26,21919.269531,22421.406250,21834.210938,22325.521484,22325.521484,15771595568
2023-02-27,22325.746094,22517.220703,21880.150391,22171.482422,22171.482422,21358902631
2023-02-28,22170.509766,22221.937500,21816.548828,21885.335938,21885.335938,19415754884
2023-03-01,21888.718750,22427.162109,21846.828125,22164.501953,22164.501953,23117097627
2023-03-02,22164.943359,22244.996094,21932.421875,22150.041016,22150.041016,19235382456
2023-03-03,22151.142578,22156.498047,20890.906250,21014.589844,21014.589844,24491284673
2023-03-04,21014.818359,21054.525391,20860.759766,21005.822266,21005.822266,10492892157
2023-03-05,21006.568359,21250.464844,20962.402344,21114.173828,21114.173828,12532696916
2023-03-06,21115.400391,21145.718750,20982.525391,20988.779297,20988.779297,16238354371
2023-03-07,20987.437500,21080.257813,20865.443359,21064.697266,21064.697266,21582012937
2023-03-08,21061.542969,21122.982422,20579.210938,20587.609375,20587.609375,21363501847
2023-03-09,20589.505859,20665.291016,19103.751953,19235.703125,19235.703125,28683645998
2023-03-10,20589.505859,20665.945313,19103.751953,19235.703125,19235.703125,28683645998
2023-03-11,19239.464844,19235.544922,18531.486328,18943.587891,18943.587891,37139999552
2023-03-12,18944.183594,19511.582031,18832.310547,19379.527344,19379.527344,28347620356
2023-03-13,19375.412109,20769.537109,19207.072266,20749.800781,20749.800781,27410915939
2023-03-14,20742.740234,22875.218750,20541.517578,22565.941406,22565.941406,46130944785
2023-03-15,22569.888672,24711.398438,22474.365234,23069.601563,23069.601563,50921737937
2023-03-16,23092.769531,23923.964844,22718.160156,23035.966797,23035.966797,41255860230
2023-03-17,23033.599609,23726.843750,22874.439453,23604.212891,23604.212891,31907892190
2023-03-18,23606.410156,25844.054688,23514.158203,25505.626953,25505.626953,47181679555
2023-03-19,25528.121094,25752.558594,24719.275391,25025.171875,25025.171875,33152085580
2023-03-20,25028.535156,26626.992188,24971.195313,26251.658203,26251.658203,35362250805
2023-03-21,26254.398438,26762.228516,25536.767578,25905.304688,25905.304688,41771705239
2023-03-22,25906.382813,26409.886719,25616.035156,26153.638672,26153.638672,33511138451
2023-03-23,26137.769531,26538.818359,24628.964844,25124.207031,25124.207031,30713129240
2023-03-24,25119.166016,26349.546875,24972.431641,26151.009766,26151.009766,22354394596
2023-03-25,26141.908203,26205.140625,25123.587891,25512.394531,25512.394531,24108429555
2023-03-26,25506.875000,25789.423828,25236.746094,25513.712891,25513.712891,12418760406
2023-03-27,25514.470703,26134.214844,25467.630859,25974.146484,25974.146484,12876844991
2023-03-28,25973.904297,26039.523438,24684.330078,25114.818359,25114.818359,16831712575
2023-03-29,25108.341797,25314.554688,24660.628906,25156.841797,25156.841797,16406669558
